date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:44:27	59016/59016	---M-Z	200	added ('OK')	text/css	etag:%22e688-5de1760d3e4a8%22	http://www.timoradventures.com.au/wp-includes/css/dashicons.min.css?ver=6.0.3	E:/xampp-gui/htdocs/httrack/Timor%20Adventure/www.timoradventures.com.au/wp-includes/css/dashicons.min1eb7.css	(from http://www.timoradventures.com.au/contact/)
18:44:28	16888/16888	---M-Z	200	added ('OK')	text/css	etag:%2241f8-5e8fbac4d06fc%22	http://www.timoradventures.com.au/wp-content/plugins/ninja-forms/assets/css/display-structure.css?ver=6.0.3	E:/xampp-gui/htdocs/httrack/Timor%20Adventure/www.timoradventures.com.au/wp-content/plugins/ninja-forms/assets/css/display-structure1eb7.css	(from http://www.timoradventures.com.au/contact/)
18:44:29	18911/18911	---M-Z	200	added ('OK')	text/javascript	etag:%2249df-5ec5fec9f863d%22	http://www.timoradventures.com.au/wp-includes/js/underscore.min.js?ver=1.13.3	E:/xampp-gui/htdocs/httrack/Timor%20Adventure/www.timoradventures.com.au/wp-includes/js/underscore.minb37e.js	(from http://www.timoradventures.com.au/contact/)
18:44:29	23929/23929	---M-Z	200	added ('OK')	text/javascript	etag:%225d79-5ec5feca3cff5%22	http://www.timoradventures.com.au/wp-includes/js/backbone.min.js?ver=1.4.1	E:/xampp-gui/htdocs/httrack/Timor%20Adventure/www.timoradventures.com.au/wp-includes/js/backbone.min330a.js	(from http://www.timoradventures.com.au/contact/)
18:44:32	63258/63258	---M-Z	200	added ('OK')	text/javascript	etag:%22f71a-5e8fbac5b18ec%22	http://www.timoradventures.com.au/wp-content/plugins/ninja-forms/assets/js/min/front-end-deps.js?ver=3.6.14	E:/xampp-gui/htdocs/httrack/Timor%20Adventure/www.timoradventures.com.au/wp-content/plugins/ninja-forms/assets/js/min/front-end-deps6875.js	(from http://www.timoradventures.com.au/contact/)
18:44:33	98072/98072	---M-Z	200	added ('OK')	text/javascript	etag:%2217f18-5e8fbac5b7e87%22	http://www.timoradventures.com.au/wp-content/plugins/ninja-forms/assets/js/min/front-end.js?ver=3.6.14	E:/xampp-gui/htdocs/httrack/Timor%20Adventure/www.timoradventures.com.au/wp-content/plugins/ninja-forms/assets/js/min/front-end6875.js	(from http://www.timoradventures.com.au/contact/)
18:44:35	6578/6578	---MC-	200	added ('OK')	application/json	date:Sat,%2014%20Jan%202023%2010:44:33%20GMT	http://www.timoradventures.com.au/wp-json/wp/v2/pages/138	E:/xampp-gui/htdocs/httrack/Timor%20Adventure/www.timoradventures.com.au/wp-json/wp/v2/pages/138.json	(from http://www.timoradventures.com.au/sitemap/)
18:44:36	2404/2404	---MC-	200	added ('OK')	application/json	date:Sat,%2014%20Jan%202023%2010:44:34%20GMT	http://www.timoradventures.com.au/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fwww.timoradventures.com.au%2Fsitemap%2F	E:/xampp-gui/htdocs/httrack/Timor%20Adventure/www.timoradventures.com.au/wp-json/oembed/1.0/embed738a.json	(from http://www.timoradventures.com.au/sitemap/)
18:44:36	0/0	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Sat,%2014%20Jan%202023%2010:44:35%20GMT	http://www.timoradventures.com.au/?p=138	E:/xampp-gui/htdocs/httrack/Timor%20Adventure/www.timoradventures.com.au/index1a26.html	(from http://www.timoradventures.com.au/sitemap/)
18:44:37	2474/2474	---M-Z	200	added ('OK')	text/xml	date:Sat,%2014%20Jan%202023%2010:44:36%20GMT	http://www.timoradventures.com.au/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fwww.timoradventures.com.au%2Fsitemap%2F&format=xml	E:/xampp-gui/htdocs/httrack/Timor%20Adventure/www.timoradventures.com.au/wp-json/oembed/1.0/embedd2d4	(from http://www.timoradventures.com.au/sitemap/)
18:44:39	30885/30885	---M-Z	200	added ('OK')	text/html	date:Sat,%2014%20Jan%202023%2010:44:37%20GMT	http://www.timoradventures.com.au/about-2/testimonials/	E:/xampp-gui/htdocs/httrack/Timor%20Adventure/www.timoradventures.com.au/about-2/testimonials/index.html	(from http://www.timoradventures.com.au/sitemap/)
18:44:40	30756/30756	---M-Z	200	added ('OK')	text/html	date:Sat,%2014%20Jan%202023%2010:44:38%20GMT	http://www.timoradventures.com.au/about-2/magazines-and-media/	E:/xampp-gui/htdocs/httrack/Timor%20Adventure/www.timoradventures.com.au/about-2/magazines-and-media/index.html	(from http://www.timoradventures.com.au/sitemap/)
18:44:40	25384/25384	---M-Z	200	added ('OK')	text/html	date:Sat,%2014%20Jan%202023%2010:44:40%20GMT	http://www.timoradventures.com.au/custom-special/	E:/xampp-gui/htdocs/httrack/Timor%20Adventure/www.timoradventures.com.au/custom-special/index.html	(from http://www.timoradventures.com.au/sitemap/)
